Bond_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
5.0,51.0,1.0,1.0,195.74792859439103,561.042594613641,-0.284
6.0,51.0,1.0,1.0,195.6459659865113,635.0016012147563,-0.284
7.0,51.0,1.0,1.0,197.65087266718825,611.4221462504557,-0.284
8.0,51.0,1.0,1.0,198.72832672460646,601.4522961581296,-0.284
9.0,51.0,1.0,1.0,199.09188554737602,573.3065982771315,-0.284
10.0,51.0,1.0,1.0,198.37890878461008,613.6815186786638,-0.284
11.0,51.0,1.0,1.0,198.81525235292844,604.2373964832128,-0.284
12.0,51.0,1.0,1.0,199.15142802404907,570.2822324711502,-0.284
13.0,51.0,1.0,1.0,199.26934173265124,538.1111363609083,-0.284
14.0,51.0,1.0,1.0,199.15246062554354,554.6121550113813,-0.284
15.0,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
16.0,51.0,1.0,1.0,198.54104017904126,584.4729028304595,-0.284
17.0,51.0,1.0,1.0,198.74319768093653,584.9120218535671,-0.284
18.0,51.0,1.0,1.0,199.34231869025504,565.0534377139047,-0.284
19.0,51.0,1.0,1.0,199.17431690588828,566.558219945582,-0.284
20.0,51.0,1.0,1.0,199.1930356612418,549.7119132565224,-0.284
21.0,51.0,1.0,1.0,199.91824619651257,511.27802451818206,-0.284
22.0,51.0,1.0,1.0,199.9956781059487,551.4809280476385,-0.284
23.0,51.0,1.0,1.0,199.1751311567626,508.0740952223414,-0.284
24.0,51.0,1.0,1.0,199.18140469340568,513.2731623454496,-0.284
25.0,51.0,1.0,1.0,198.52006366508152,512.7994486896172,-0.284
26.0,51.0,1.0,1.0,198.12881660642492,512.1321089045815,-0.284
27.0,51.0,1.0,1.0,197.82713793385884,509.5299686890026,-0.284
28.0,51.0,1.0,1.0,197.56540762913897,497.08512285487484,-0.284
29.0,51.0,1.0,1.0,197.0867342613663,524.1335518584564,-0.284
30.0,51.0,1.0,1.0,197.36526671365496,486.7544004198205,-0.284
