Decay_dbar,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,199.93319540015793,594.6377269585743,-0.284
5.0e-5,51.0,1.0,1.0,199.94517170871774,571.857631348647,-0.284
0.0001,51.0,1.0,1.0,200.01924331625915,560.2377877599355,-0.284
0.00015,51.0,1.0,1.0,199.82085917994908,554.5153696343236,-0.284
0.0002,51.0,1.0,1.0,199.49830840598173,557.1275287121551,-0.284
0.00025,51.0,1.0,1.0,199.15621815202854,562.60071729982,-0.284
0.0003,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
0.00035,51.0,1.0,1.0,198.4837183461217,573.5499294365976,-0.284
0.0004,51.0,1.0,1.0,198.1527792510734,578.5818296608,-0.284
0.00045,51.0,1.0,1.0,197.8739430003634,587.7858278299963,-0.284
0.0005,51.0,1.0,1.0,197.65297223665613,595.2161103953608,-0.284
0.00055,51.0,1.0,1.0,197.47049441900432,598.5990748722628,-0.284
0.0006,51.0,1.0,1.0,197.36351676366203,597.8542012124523,-0.284
0.00065,51.0,1.0,1.0,197.2684675178001,596.8176597673652,-0.284
0.0007,51.0,1.0,1.0,197.04103086422037,589.577448776757,-0.284
0.00075,51.0,1.0,1.0,197.02071898422602,575.8028248138816,-0.284
0.0008,51.0,1.0,1.0,197.09590638673797,561.6008230343401,-0.284
0.00085,51.0,1.0,1.0,197.04330026687782,545.9671923884554,-0.284
0.0009,51.0,1.0,1.0,196.79148819203576,526.3806299931829,-0.284
0.00095,51.0,1.0,1.0,196.44261978263265,505.6814246144096,-0.284
0.001,51.0,1.0,1.0,196.07810072979814,519.3486609544137,-0.284
