Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.025,51.0,1.0,1.0,160.63380577078317,245.04079638342822,-0.284
0.03,51.0,1.0,1.0,160.63380577078317,246.27714081903062,-0.284
0.035,51.0,1.0,1.0,160.63380577078317,248.02215151886068,-0.284
0.04,51.0,1.0,1.0,160.63380577078317,249.4480729240536,-0.284
0.045,51.0,1.0,1.0,160.63380577078317,250.4843513531766,-0.284
0.05,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.055,51.0,1.0,1.0,160.63380577078317,251.83048349614512,-0.284
0.06,51.0,1.0,1.0,160.63380577078317,252.28977598752783,-0.284
0.065,51.0,1.0,1.0,160.63380577078317,252.66165043191063,-0.284
0.07,51.0,1.0,1.0,160.63380577078317,252.96931328885492,-0.284
0.075,51.0,1.0,1.0,160.63380577078317,253.22836775026164,-0.284
