FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,198.5194353282564,571.5046068895654,-0.284
0.01,51.0,1.0,1.0,198.52713135530277,571.2513081352473,-0.284
0.02,51.0,1.0,1.0,198.52989839784271,570.9970631333186,-0.284
0.03,51.0,1.0,1.0,198.5331101620069,570.7418944781006,-0.284
0.04,51.0,1.0,1.0,198.5365061568145,570.4858245041372,-0.284
0.05,51.0,1.0,1.0,198.5401146944245,570.2288752836467,-0.284
0.06,51.0,1.0,1.0,198.54385857573718,569.9710686236924,-0.284
0.07,51.0,1.0,1.0,198.54773059947343,569.7124260637329,-0.284
0.08,51.0,1.0,1.0,198.55178045666133,569.4529688735199,-0.284
0.09,51.0,1.0,1.0,198.5560966255582,569.1927180507097,-0.284
0.1,51.0,1.0,1.0,198.55992564156077,568.9316943193446,-0.284
0.11,51.0,1.0,1.0,198.56428980292716,568.6699181278054,-0.284
0.12,51.0,1.0,1.0,198.56921021289946,568.4074096475285,-0.284
0.13,51.0,1.0,1.0,198.57480247228946,568.1441887715933,-0.284
0.14,51.0,1.0,1.0,198.58122828180834,567.8802751135835,-0.284
0.15,51.0,1.0,1.0,198.5887233785658,567.6156880066272,-0.284
0.16,51.0,1.0,1.0,198.5976872313099,567.3504465027593,-0.284
0.17,51.0,1.0,1.0,198.60526841673692,567.0845693722044,-0.284
0.18,51.0,1.0,1.0,198.6091690039224,566.8180751031011,-0.284
0.19,51.0,1.0,1.0,198.61311244372382,566.550981901309,-0.284
0.2,51.0,1.0,1.0,198.61726862453477,566.2833076904375,-0.284
0.21,51.0,1.0,1.0,198.62149335245246,566.0150701121365,-0.284
0.22,51.0,1.0,1.0,198.6257186190773,565.7462865262521,-0.284
0.23,51.0,1.0,1.0,198.62993944748746,565.4769740118101,-0.284
0.24,51.0,1.0,1.0,198.63420503093477,565.2071493675534,-0.284
0.25,51.0,1.0,1.0,198.63859935949372,564.9368291130307,-0.284
0.26,51.0,1.0,1.0,198.6427747115863,564.9870103334553,-0.284
0.27,51.0,1.0,1.0,198.64679094833852,565.0850534502437,-0.284
0.28,51.0,1.0,1.0,198.65126743896684,565.1829656484299,-0.284
0.29,51.0,1.0,1.0,198.65626268501808,565.280761875093,-0.284
0.3,51.0,1.0,1.0,198.66188324449269,565.3784569484974,-0.284
0.31,51.0,1.0,1.0,198.6682744417956,565.4760655583678,-0.284
0.32,51.0,1.0,1.0,198.6756445630058,565.5736022662927,-0.284
0.33,51.0,1.0,1.0,198.68433047336703,565.6710815057353,-0.284
0.34,51.0,1.0,1.0,198.6946199596772,565.7685175819203,-0.284
0.35,51.0,1.0,1.0,198.69855229707593,565.8659246717175,-0.284
0.36,51.0,1.0,1.0,198.7029207295912,565.9633168228692,-0.284
0.37,51.0,1.0,1.0,198.7075227312286,566.0607079533862,-0.284
0.38,51.0,1.0,1.0,198.71215968890286,566.158111850483,-0.284
0.39,51.0,1.0,1.0,198.71671510650918,566.2555421691321,-0.284
0.4,51.0,1.0,1.0,198.72112839461425,566.3530124304409,-0.284
0.41,51.0,1.0,1.0,198.72539990123178,566.4505360195251,-0.284
0.42,51.0,1.0,1.0,198.72958672521284,566.5481261831351,-0.284
0.43,51.0,1.0,1.0,198.7337776158567,566.6457960267775,-0.284
0.44,51.0,1.0,1.0,198.73806714943012,566.7435585112574,-0.284
0.45,51.0,1.0,1.0,198.74183045543802,566.8414264489859,-0.284
0.46,51.0,1.0,1.0,198.74591746331237,566.9394124995919,-0.284
0.47,51.0,1.0,1.0,198.7503952628365,567.0375291649472,-0.284
0.48,51.0,1.0,1.0,198.7553020522072,567.1357887836942,-0.284
0.49,51.0,1.0,1.0,198.76070438021245,567.2342035250167,-0.284
0.5,51.0,1.0,1.0,198.76669571475654,567.3327853818495,-0.284
0.51,51.0,1.0,1.0,198.77341139920705,567.4315461631865,-0.284
0.52,51.0,1.0,1.0,198.78106244522922,567.5304974858162,-0.284
0.53,51.0,1.0,1.0,198.79003878596188,567.6296507650944,-0.284
0.54,51.0,1.0,1.0,198.79794203389804,567.7290172048203,-0.284
0.55,51.0,1.0,1.0,198.80196415597703,567.8286077864182,-0.284
0.56,51.0,1.0,1.0,198.80649830874177,567.9284332569188,-0.284
0.57,51.0,1.0,1.0,198.81122133678394,568.0285041160242,-0.284
0.58,51.0,1.0,1.0,198.81598085023052,568.1288306021997,-0.284
0.59,51.0,1.0,1.0,198.82067091545852,568.229422677547,-0.284
0.6,51.0,1.0,1.0,198.82521329213034,568.3302900115283,-0.284
0.61,51.0,1.0,1.0,198.82957023250538,568.4314419636648,-0.284
0.62,51.0,1.0,1.0,198.8337718956517,568.5328875647091,-0.284
0.63,51.0,1.0,1.0,198.83790133402806,568.6346354968265,-0.284
0.64,51.0,1.0,1.0,198.8420491753256,568.736694072299,-0.284
0.65,51.0,1.0,1.0,198.8462936035503,568.8390712107711,-0.284
0.66,51.0,1.0,1.0,198.8501407761373,568.9417744153218,-0.284
0.67,51.0,1.0,1.0,198.85412632817113,569.0448107470057,-0.284
0.68,51.0,1.0,1.0,198.85844671491844,569.1481867977457,-0.284
0.69,51.0,1.0,1.0,198.86309392508448,569.2519086622234,-0.284
0.7,51.0,1.0,1.0,198.86809043289685,569.3559819076356,-0.284
0.71,51.0,1.0,1.0,198.87347364310025,569.4604115425517,-0.284
0.72,51.0,1.0,1.0,198.8792977924114,569.5652019838795,-0.284
0.73,51.0,1.0,1.0,198.885641722189,569.6703570224623,-0.284
0.74,51.0,1.0,1.0,198.89262410683958,569.7758797873348,-0.284
0.75,51.0,1.0,1.0,198.90043962794536,569.88177270824,-0.284
0.76,51.0,1.0,1.0,198.90950229937263,569.9880374771296,-0.284
0.77,51.0,1.0,1.0,198.91516154654389,570.0946750080213,-0.284
0.78,51.0,1.0,1.0,198.91900806539368,570.2016853958187,-0.284
0.79,51.0,1.0,1.0,198.923251359604,570.3090678738928,-0.284
0.8,51.0,1.0,1.0,198.92769031380004,570.416820770564,-0.284
0.81,51.0,1.0,1.0,198.93222168161216,570.5249414648282,-0.284
0.82,51.0,1.0,1.0,198.93677209068187,570.633426341232,-0.284
0.83,51.0,1.0,1.0,198.9412799232858,570.7422707442097,-0.284
0.84,51.0,1.0,1.0,198.94568158673246,570.8514689320066,-0.284
0.85,51.0,1.0,1.0,198.94990973757058,570.9610140305373,-0.284
0.86,51.0,1.0,1.0,198.95399142983374,571.070897987405,-0.284
0.87,51.0,1.0,1.0,198.95802998855734,571.1811115261638,-0.284
0.88,51.0,1.0,1.0,198.96210177154393,571.2916441015199,-0.284
0.89,51.0,1.0,1.0,198.96626077437168,571.4024838554707,-0.284
0.9,51.0,1.0,1.0,198.97049405799362,571.5136175748937,-0.284
0.91,51.0,1.0,1.0,198.9739948472381,571.6250306511773,-0.284
0.92,51.0,1.0,1.0,198.9778703586289,571.7367070417744,-0.284
0.93,51.0,1.0,1.0,198.98200453523256,571.8486292349908,-0.284
0.94,51.0,1.0,1.0,198.98638943766693,571.9607782175667,-0.284
0.95,51.0,1.0,1.0,198.9910337484764,572.0731334464091,-0.284
0.96,51.0,1.0,1.0,198.99595419456332,572.1856728243864,-0.284
0.97,51.0,1.0,1.0,199.0011749070696,572.298372681084,-0.284
0.98,51.0,1.0,1.0,199.0067292458428,572.4112077590842,-0.284
0.99,51.0,1.0,1.0,199.01266331328873,572.5241512061815,-0.284
1.0,51.0,1.0,1.0,199.01904201759405,572.6371745742512,-0.284
