IF_sens_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
4.0,51.0,1.0,1.0,200.93354589882492,527.9941024190632,-0.284
4.340878170264604,51.0,1.0,1.0,200.9094433985468,526.7859981721474,-0.284
4.710805822269944,51.0,1.0,1.0,200.8866287123484,525.8602333498983,-0.284
5.11225853956175,51.0,1.0,1.0,200.865622049971,525.614871572625,-0.284
5.547922873783102,51.0,1.0,1.0,200.84693094816225,526.684026169563,-0.284
6.020714323279183,51.0,1.0,1.0,200.8310087803157,529.5618611520396,-0.284
6.533796843830508,51.0,1.0,1.0,200.81822112849562,533.841819049187,-0.284
7.090604022081906,51.0,1.0,1.0,200.80818155636797,538.5658313559859,-0.284
7.694862053361437,51.0,1.0,1.0,200.8014203319972,543.1665207851898,-0.284
8.350614677658532,51.0,1.0,1.0,200.7987008141102,547.3451014332059,-0.284
9.062250240634778,51.0,1.0,1.0,200.80043171225842,551.2976366202267,-0.284
9.834531060761668,51.0,1.0,1.0,200.79088002136143,554.9439838281992,-0.284
10.672625299112381,51.0,1.0,1.0,200.77303973919226,558.1539207199287,-0.284
11.582141545082669,51.0,1.0,1.0,200.75021604880078,560.857278750942,-0.284
12.569166349491027,51.0,1.0,1.0,200.72397690151124,563.0122644677494,-0.284
13.640304956232512,51.0,1.0,1.0,200.6928169414488,564.621305905567,-0.284
14.80272550506545,51.0,1.0,1.0,200.67023003154782,565.7226038381397,-0.284
16.064207001339426,51.0,1.0,1.0,200.65441384964933,566.3768472690607,-0.284
17.43319137368153,51.0,1.0,1.0,200.6439985323636,566.656580858886,-0.284
18.918839968014844,51.0,1.0,1.0,200.63778026510136,566.6395060534265,-0.284
20.531094855971272,51.0,1.0,1.0,200.63460628190714,566.4041147474697,-0.284
22.280745367979403,51.0,1.0,1.0,200.63332514644262,566.0259545545817,-0.284
24.179500296271495,51.0,1.0,1.0,200.63288095820002,565.5738472868486,-0.284
26.240066250997867,51.0,1.0,1.0,200.63250413125223,565.1063467092681,-0.284
28.476232693813404,51.0,1.0,1.0,200.63086220369846,564.6691461673054,-0.284
30.902964217987456,51.0,1.0,1.0,200.62876381166953,564.2940278130221,-0.284
33.53650069258248,51.0,1.0,1.0,200.6262386088758,563.9994822252544,-0.284
36.394465940873765,51.0,1.0,1.0,200.62329587278708,563.7926705407707,-0.284
39.495985680294396,51.0,1.0,1.0,200.6199320641308,563.6721364987004,-0.284
42.86181551316834,51.0,1.0,1.0,200.6161595624904,563.6306437036388,-0.284
46.5144798247553,51.0,1.0,1.0,200.61201949778462,563.6576799064605,-0.284
50.47842251812341,51.0,1.0,1.0,200.60757303482268,563.7413931770595,-0.284
54.780170594578784,51.0,1.0,1.0,200.60288355041348,563.8699214064675,-0.284
59.44851167434448,51.0,1.0,1.0,200.59800249423517,564.0322015241894,-0.284
64.51468664547063,51.0,1.0,1.0,200.59296940405346,564.218395389546,-0.284
70.01259873019619,51.0,1.0,1.0,200.58783908056057,564.4200655615639,-0.284
75.97904036785103,51.0,1.0,1.0,200.58270639915156,564.6302025529944,-0.284
82.45393943261438,51.0,1.0,1.0,200.577675145391,564.8431679877335,-0.284
89.48062643383894,51.0,1.0,1.0,200.57282775167272,565.054588615199,-0.284
97.1061244870633,51.0,1.0,1.0,200.56822240032128,565.2612179012709,-0.284
105.38146399622259,51.0,1.0,1.0,200.5638963790116,565.4607790312369,-0.284
114.36202415293195,51.0,1.0,1.0,200.5598686661347,565.6517927654988,-0.284
124.10790353818399,51.0,1.0,1.0,200.55614206334405,565.8334032798504,-0.284
134.68432230655196,51.0,1.0,1.0,200.5527059414653,566.0052140608411,-0.284
146.16205864434843,51.0,1.0,1.0,200.5495404339803,566.1671415559047,-0.284
158.61792242254668,51.0,1.0,1.0,200.54657465410926,566.3192948528725,-0.284
172.13526921418944,51.0,1.0,1.0,200.54368139111577,566.4618857599779,-0.284
186.80455811612384,51.0,1.0,1.0,200.54104544898007,566.5951699660378,-0.284
202.723957108052,51.0,1.0,1.0,200.5386741668265,566.7194163974141,-0.284
220.0,51.0,1.0,1.0,200.53657239039288,566.8348989821279,-0.284
