IF_sens_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
4.0,51.0,1.0,1.0,333.485669643225,375.73806877405224,-0.284
4.340878170264604,51.0,1.0,1.0,333.485669643225,375.7379606999363,-0.284
4.710805822269944,51.0,1.0,1.0,333.485669643225,375.7377527793496,-0.284
5.11225853956175,51.0,1.0,1.0,333.485669643225,375.7373239221211,-0.284
5.547922873783102,51.0,1.0,1.0,333.485669643225,375.7363323097832,-0.284
6.020714323279183,51.0,1.0,1.0,333.485669643225,375.7335425025847,-0.284
6.533796843830508,51.0,1.0,1.0,333.485669643225,375.72193059317505,-0.284
7.090604022081906,51.0,1.0,1.0,333.485669643225,375.55841686108704,-0.284
7.694862053361437,51.0,1.0,1.0,333.485669643225,381.28345437536404,-0.284
8.350614677658532,51.0,1.0,1.0,333.485669643225,386.3093883237306,-0.284
9.062250240634778,51.0,1.0,1.0,333.485669643225,388.8927416131865,-0.284
9.834531060761668,51.0,1.0,1.0,333.485669643225,390.5801801954405,-0.284
10.672625299112381,51.0,1.0,1.0,333.485669643225,391.7819307105979,-0.284
11.582141545082669,51.0,1.0,1.0,333.485669643225,392.6790929956627,-0.284
12.569166349491027,51.0,1.0,1.0,333.485669643225,393.36993401206627,-0.284
13.640304956232512,51.0,1.0,1.0,333.485669643225,393.91381740544676,-0.284
14.80272550506545,51.0,1.0,1.0,333.485669643225,394.3488185846617,-0.284
16.064207001339426,51.0,1.0,1.0,333.485669643225,394.7002366786273,-0.284
17.43319137368153,51.0,1.0,1.0,333.485669643225,394.9852813663039,-0.284
18.918839968014844,51.0,1.0,1.0,333.485669643225,395.215865853756,-0.284
20.531094855971272,51.0,1.0,1.0,333.485669643225,395.40031578439505,-0.284
22.280745367979403,51.0,1.0,1.0,333.485669643225,395.54439336289977,-0.284
24.179500296271495,51.0,1.0,1.0,333.485669643225,395.6518701061938,-0.284
26.240066250997867,51.0,1.0,1.0,333.485669643225,395.7247958374192,-0.284
28.476232693813404,51.0,1.0,1.0,333.485669643225,395.7635935411387,-0.284
30.902964217987456,51.0,1.0,1.0,333.485669643225,395.7672076770256,-0.284
33.53650069258248,51.0,1.0,1.0,333.485669643225,395.73453038347367,-0.284
36.394465940873765,51.0,1.0,1.0,333.485669643225,395.67362409494194,-0.284
39.495985680294396,51.0,1.0,1.0,333.485669643225,395.655488149031,-0.284
42.86181551316834,51.0,1.0,1.0,333.485669643225,396.05178010446457,-0.284
46.5144798247553,51.0,1.0,1.0,333.485669643225,397.45257360841345,-0.284
50.47842251812341,51.0,1.0,1.0,333.485669643225,399.0030850101412,-0.284
54.780170594578784,51.0,1.0,1.0,333.485669643225,400.0582781071541,-0.284
59.44851167434448,51.0,1.0,1.0,333.485669643225,400.7719004492904,-0.284
64.51468664547063,51.0,1.0,1.0,333.485669643225,401.28682651714115,-0.284
70.01259873019619,51.0,1.0,1.0,333.485669643225,401.675415426391,-0.284
75.97904036785103,51.0,1.0,1.0,333.485669643225,401.97643130956953,-0.284
82.45393943261438,51.0,1.0,1.0,333.485669643225,402.2132038689994,-0.284
89.48062643383894,51.0,1.0,1.0,333.485669643225,402.4012175280986,-0.284
97.1061244870633,51.0,1.0,1.0,333.485669643225,402.55148564996193,-0.284
105.38146399622259,51.0,1.0,1.0,333.485669643225,402.67219793424346,-0.284
114.36202415293195,51.0,1.0,1.0,333.485669643225,402.7696052479479,-0.284
124.10790353818399,51.0,1.0,1.0,333.485669643225,402.84854276108473,-0.284
134.68432230655196,51.0,1.0,1.0,333.485669643225,402.91277051581955,-0.284
146.16205864434843,51.0,1.0,1.0,333.485669643225,402.9652158121043,-0.284
158.61792242254668,51.0,1.0,1.0,333.485669643225,403.008157862885,-0.284
172.13526921418944,51.0,1.0,1.0,333.485669643225,403.04337351548753,-0.284
186.80455811612384,51.0,1.0,1.0,333.485669643225,403.0722527532654,-0.284
202.723957108052,51.0,1.0,1.0,333.485669643225,403.09588930548506,-0.284
220.0,51.0,1.0,1.0,333.485669643225,403.115151334104,-0.284
