IF_thresh_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
0.01,51.0,1.0,1.0,198.80613593543308,568.2805141583418,-0.284
0.02,51.0,1.0,1.0,198.79115229117102,568.4444470073029,-0.284
0.03,51.0,1.0,1.0,198.77275448869565,568.6261999154749,-0.284
0.04,51.0,1.0,1.0,198.76731131410665,568.832464508828,-0.284
0.05,51.0,1.0,1.0,198.76911676291508,569.0714274935896,-0.284
0.06,51.0,1.0,1.0,198.76617557098663,569.3517923013868,-0.284
0.07,51.0,1.0,1.0,198.75414731157656,569.6817759379225,-0.284
0.08,51.0,1.0,1.0,198.73990591534175,570.0683304147218,-0.284
0.09,51.0,1.0,1.0,198.73693496768954,570.5166985454141,-0.284
0.1,51.0,1.0,1.0,198.76565833598323,571.0303354795003,-0.284
0.11,51.0,1.0,1.0,198.81655264663385,572.6123168981787,-0.284
0.12,51.0,1.0,1.0,198.85866536229776,581.6316583992984,-0.284
0.13,51.0,1.0,1.0,200.5890481116924,585.0185949526426,-0.284
0.14,51.0,1.0,1.0,199.7864923916045,588.7961776137482,-0.284
0.15,51.0,1.0,1.0,199.31734367477867,590.9983156695888,-0.284
0.16,51.0,1.0,1.0,199.4943146596445,590.0895864393624,-0.284
0.17,51.0,1.0,1.0,199.68300677702013,589.4582896964741,-0.284
0.18,51.0,1.0,1.0,199.87838858782644,591.2343999208757,-0.284
0.19,51.0,1.0,1.0,200.07392593140463,593.0101255316423,-0.284
0.2,51.0,1.0,1.0,200.4814970166373,593.322047190493,-0.284
0.21,51.0,1.0,1.0,200.95761448772242,592.8803332084271,-0.284
0.22,51.0,1.0,1.0,201.34363660751663,592.4627310026145,-0.284
0.23,51.0,1.0,1.0,201.64090122197274,592.0055355275002,-0.284
0.24,51.0,1.0,1.0,201.88487353423676,591.3504323962574,-0.284
0.25,51.0,1.0,1.0,202.15893120053744,590.1603797925598,-0.284
0.26,51.0,1.0,1.0,202.6018468572672,587.8759655868054,-0.284
0.27,51.0,1.0,1.0,202.4292217505197,584.0785188686505,-0.284
0.28,51.0,1.0,1.0,198.2071101260462,579.6553759160631,-0.284
0.29,51.0,1.0,1.0,198.24364358895463,576.459876818594,-0.284
0.3,51.0,1.0,1.0,198.91846178135103,532.7417603936334,-0.284
0.31,51.0,1.0,1.0,187.901961577444,560.6922567686792,-0.284
0.32,51.0,1.0,1.0,195.64548630636517,548.0996831490703,-0.284
0.33,50.991223548127195,0.9998279127083763,0.9966733067821393,197.70235550795493,544.3192935123957,-0.284
0.34,50.96393520761619,0.9992928472081606,0.9888227664416389,198.95289194877697,573.2600457733447,-0.284
0.35,50.923370749222386,0.9984974656710272,0.9809231255073179,202.63662851971094,578.8019963947894,-0.284
0.36,50.855793036807626,0.9971724124864241,0.9729766649367686,200.79797321388665,575.4146562073162,-0.284
0.37,50.75867705559507,0.9952681775606876,0.9649803169272518,196.20198051651428,560.5180735966948,-0.284
0.38,50.63485344499186,0.9928402636272914,0.9569490914656354,200.35304850567425,544.6993156638499,-0.284
0.39,50.49203571815277,0.9900399160422112,0.9489028104586482,204.66707487158865,583.3332562828018,-0.284
0.4,50.32770246565114,0.9868176954049244,0.9407817106156192,203.62464835998895,583.35821112608,-0.284
0.41,50.15999224214265,0.9835292596498558,0.9326598384622337,203.2297735150069,529.923467413991,-0.284
0.42,49.953424246752185,0.9794789067990625,0.9245227487110131,204.7759464866268,558.4562961045287,-0.284
0.43,49.7347708909017,0.9751915860961118,0.9163217652848101,210.24104563265433,515.6928039887963,-0.284
0.44,49.498868399240145,0.9705660470439245,0.9080866876283317,210.22513546290978,551.849630743505,-0.284
0.45,49.26341305144617,0.9659492755185524,0.8998463272918589,215.61289369239896,525.4904798776331,-0.284
0.46,49.04101497226533,0.9615885288679477,0.8916140440194545,213.66488272733045,538.5121862531543,-0.284
0.47,48.75138086283138,0.9559094286829682,0.8833959944205848,217.64210690784276,529.8030569633985,-0.284
0.48,48.21003408247581,0.9452947859308982,0.8752017763565367,220.23578848312087,532.1520006343239,-0.284
0.49,47.99639589354842,0.9411058018342827,0.8670465706976711,221.56126108415853,536.0164675535285,-0.284
0.5,47.61662493645444,0.9336593124794988,0.85895377097993,223.13673356316272,535.1641314665412,-0.284
