IF_thresh_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.02,51.0,1.0,1.0,160.63380577078317,254.94198171727473,-0.284
0.04,51.0,1.0,1.0,160.63380577078317,256.4182851497456,-0.284
0.06,51.0,1.0,1.0,160.63380577078317,257.1637023831745,-0.284
0.08,51.0,1.0,1.0,160.63380577078317,257.5284052894878,-0.284
0.1,51.0,1.0,1.0,160.63380577078317,257.6414193089209,-0.284
0.12,51.0,1.0,1.0,160.63380577078317,257.5481842426058,-0.284
0.14,51.0,1.0,1.0,160.63380577078317,257.2489036921161,-0.284
0.16,51.0,1.0,1.0,160.63380577078317,256.71452997806574,-0.284
0.18,51.0,1.0,1.0,160.63380577078317,255.90117529972255,-0.284
0.2,51.0,1.0,1.0,160.63380577078317,254.7776217215211,-0.284
0.22,51.0,1.0,1.0,160.63380577078317,253.3882064518902,-0.284
0.24,51.0,1.0,1.0,160.63380577078317,251.9831238763245,-0.284
0.26,51.0,1.0,1.0,160.63380577078317,251.07229022480826,-0.284
0.28,51.0,1.0,1.0,160.63380577078317,250.82904423738938,-0.284
0.3,51.0,1.0,1.0,160.63380577078317,250.84740243130182,-0.284
0.32,51.0,1.0,1.0,160.63380577078317,250.86666160603133,-0.284
0.34,51.0,1.0,1.0,160.63380577078317,250.8500925005172,-0.284
0.36,51.0,1.0,1.0,160.63380577078317,250.81248425910567,-0.284
0.38,51.0,1.0,1.0,160.63380577078317,250.76141975413702,-0.284
0.4,51.0,1.0,1.0,160.63380577078317,250.69489973658736,-0.284
0.42,51.0,1.0,1.0,160.63380577078317,250.60715890737123,-0.284
0.44,51.0,1.0,1.0,160.63380577078317,250.4913348841947,-0.284
0.46,51.0,1.0,1.0,160.63380577078317,250.34017006403914,-0.284
0.48,51.0,1.0,1.0,160.63380577078317,250.14621946716125,-0.284
0.5,51.0,1.0,1.0,160.63380577078317,249.901954398534,-0.284
0.52,51.0,1.0,1.0,160.63380577078317,249.59986743201605,-0.284
0.54,51.0,1.0,1.0,160.63380577078317,249.23262744062612,-0.284
0.56,51.0,1.0,1.0,160.63380577078317,248.79332644363586,-0.284
0.58,51.0,1.0,1.0,160.63380577078317,248.27587232749823,-0.284
0.6,51.0,1.0,1.0,160.63380577078317,245.91904330273596,-0.284
0.62,51.0,1.0,1.0,160.63380577078317,243.531145489901,-0.284
0.64,51.0,1.0,1.0,160.59662514246213,241.79894089083834,-0.284
0.66,51.0,1.0,1.0,160.54025475224142,240.6255255066568,-0.284
0.68,51.0,1.0,1.0,160.5129763611688,239.84239858484415,-0.284
0.7,51.0,1.0,1.0,160.49494675183882,239.32510339469698,-0.284
0.72,51.0,1.0,1.0,160.48310858861737,238.98610086791135,-0.284
0.74,51.0,1.0,1.0,160.4754952420527,238.76518513986923,-0.284
0.76,51.0,1.0,1.0,160.47058981584297,238.6217847526177,-0.284
0.78,51.0,1.0,1.0,160.46734072894856,238.52894988102202,-0.284
0.8,51.0,1.0,1.0,160.46523636063557,238.46895728605338,-0.284
0.82,51.0,1.0,1.0,160.463886777536,238.43023406294336,-0.284
0.84,51.0,1.0,1.0,160.46301901912872,238.40525897107705,-0.284
0.86,51.0,1.0,1.0,160.46246059673823,238.38915910971193,-0.284
0.88,51.0,1.0,1.0,160.46210110784662,238.37878396927397,-0.284
0.9,51.0,1.0,1.0,160.46186964165858,238.372099404676,-0.284
0.92,51.0,1.0,1.0,160.46172059131533,238.36779322293583,-0.284
0.94,51.0,1.0,1.0,160.4616246063057,238.36501943716235,-0.284
0.96,51.0,1.0,1.0,160.46156279202324,238.3632328321916,-0.284
0.98,51.0,1.0,1.0,160.46152298282274,238.36208211637458,-0.284
1.0,51.0,1.0,1.0,160.46149734484112,238.36134098147008,-0.284
