IntRate,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,160.63380577078317,238.3537228315058,-0.284
0.01,51.0,1.0,1.0,160.63380577078317,237.20308665902053,-0.284
0.02,51.0,1.0,1.0,160.63380577078317,242.4792849945952,-0.284
0.03,51.0,1.0,1.0,160.63380577078317,244.99171835563828,-0.284
0.04,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.05,51.0,1.0,1.0,160.63380577078317,271.99074819004534,-0.284
0.06,51.0,1.0,1.0,160.41160196306805,272.80892896158804,-0.284
0.07,51.0,1.0,1.0,160.12482397884946,277.4398478119267,-0.284
0.08,51.0,1.0,1.0,160.12482397884946,292.85411388275634,-0.284
0.09,51.0,1.0,1.0,160.12482397884946,307.4105151633185,-0.284
0.1,51.0,1.0,1.0,159.9864603250908,314.7480872946726,-0.284
