ProjYears,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
2.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
3.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
4.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
5.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
6.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
7.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
8.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
9.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
10.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
